Item,Description,,Qty,Unit Price (USD),Total (USD),,,,,,,,,,,,,,,,,,,,,,
Microcontroller,Wemos d1 mini,,1,7.74,7.74,https://makerbazar.in/products/wemos-d1-mini-iot-esp8266-based-development-board?variant=48251175600368,,,,,,,,,,,,,,,,,,,,,
DISPLAY,128*64 I2C OLED,,1,2.09,2.09,https://makerbazar.in/products/0-96-inch-128x64-oled-display-module,,,,,,,,,,,,,,,,,,,,,
boost module,Step-up converter,,1,0.72,https://makerbazar.in/products/boost-converterdc-dc?variant=19361177763936,,,,,,,,,,,,,,,,,,,,,
buzzer,Hdp1206 buzzer,,1,0.21,0.21,https://makerbazar.in/products/b12-hdp1206-mini-active-buzzer,,,,,,,,,,,,,,,,,,,,,
button,6*6 mm push button,,1,0.22,0.22,https://makerbazar.in/products/small-push-button-switch?variant=44840000880880,,,,,,,,,,,,,,,,,,,,,
battery,1000 mAh lipo battery,,1,4.42,4.42,https://makerbazar.in/products/single-cell-3-7v-10000mah-lipo-battery?variant=48251044659440,,,,,,,,,,,,,,,,,,,,,
charger,tp4056 battery charger,,1,0.21,0.21,https://makerbazar.in/products/tp4056-1a-li-ion-lithium-battery-charging-module?_pos=9&_sid=fec3b1e5e&_ss=r&variant=45459125567728,,,,,,,,,,,,,,,,,,,,,
resistor,10k THT resistor,,1,0.22,0.22,https://makerbazar.in/products/carbon-film-resistor-dip-1-4-watt-resistance-through-hole-1k-to-99kohm?variant=47248529621232,,,,,,,,,,,,,,,,,,,,,
Power Switch,Slide switch,,2,0.078,0.16,https://makerbazar.in/products/right-angle-3-pin-2-position-spdt-1p2t-pcb-panel-mini-slide-switch-l-shape-bent?pr_prod_strat=e5_desc&pr_rec_id=337371f17&pr_rec_pid=7019382800535&pr_ref_pid=8573508452592&pr_seq=uniform&variant=48251177631984,,,,,,,,,,,,,,,,,,,,,
Capacitor,100 uf 16v capacitor,,2,0.055,0.11,https://makerbazar.in/products/electrolytic-capacitor-through-hole?variant=46172040462576,,,,,,,,,,,,,,,,,,,,,
zeropcb,Green zeropcb,,1,0.5,0.5,https://makerbazar.in/products/double-sided-universal-pcb-prototype-board-2-54mm-hole-pitch?variant=46000183771376,,,,,,,,,,,,,,,,,,,,,
header ,female header,,3,0.097,0.28,https://makerbazar.in/products/female-berg-strip-2-54mm-header-pin,,,,,,,,,,,,,,,,,,,,,
nut & bolt,phillips nut & bolt,,1,0.23,0.23,https://makerbazar.in/products/philips-head-nuts-bolts-set-silver-plated-pack-of-10?variant=43604541571312,,,,,,,,,,,,,,,,,,,,,
heatshrink,black shrink,,1,0.078,0.078,https://makerbazar.in/products/heat-shrink?variant=44960740475120,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Total,14.38 USD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,


